STATION,ID,ELEV (FEET),LATITUDE    ,LONGITUDE   ,COUNTY   ,OPERATOR AGENCY
TUOLUMNE RIVER,,,,,,
CHERRY VALLEY DAM,CVD,4765,37.966999,-119.917000   ,TUOLUMNE   ,US Army Corps of Engineers
HETCH HETCHY,HTH,3870,37.950001,-119.782997   ,TUOLUMNE   ,Hetch Hetchy Water and Power
GROVELAND R S,GVL,3145,37.817001,-120.099998   ,TUOLUMNE   ,US Forest Service
SONORA RS,SOR,1749,37.983002,-120.383003   ,TUOLUMNE   ,Tuolumne Utility District
MOCCASIN,MCN,938,37.810184,-120.299004   ,TUOLUMNE   ,Hetch Hetchy Water and Power
MODESTO IRRIG DISTRICT OFFICE,MDE,91,37.650002,-121.000999   ,STANISLAUS   ,Modesto Irrigation District
MERCED RIVER,,,,,,
SOUTH ENTRANCE YOSEMITE,SEY,5120,37.5,-119.633003   ,MARIPOSA   ,National Weather Service
YOSEMITE HEADQUARTERS,YSV,4018,37.750271,-119.589722   ,MARIPOSA   ,Merced Irrigation District
MARIPOSA RANGER STATION,MRP,2250,37.504166,-119.986946   ,MARIPOSA   ,CA Dept of Forestry and Fire Protection
NEW EXCHEQUER-LK MCCLURE,EXC,879,37.584999,-120.269997   ,MARIPOSA   ,Merced Irrigation District
SAN JOAQUIN RIVER,,,,,,
FLORENCE LAKE (SCE),FLR,7325,37.266998,-118.967003   ,FRESNO   ,"Southern California Edison Company, Big Creek"
HUNTINGTON LAKE (USBR),HNT,7000,37.22757,-119.220482   ,FRESNO   ,US Bureau of Reclamation
BIG CREEK 1,BGC,4878,37.205002,-119.239998   ,FRESNO   ,"Southern California Edison Company, Big Creek"
CRANE VALLEY RESERVOIR (PG&E),CRR,3400,37.291,-119.526001   ,MADERA   ,Pacific Gas & Electric
NORTH FORK R S,NFR,2630,37.233002,-119.500000   ,MADERA   ,US Forest Service
AUBERRY 2 NW,ABR,2090,37.083,-119.500000   ,FRESNO   ,National Weather Service
COALINGA,CLN,670,36.136002,-120.361000   ,FRESNO   ,National Weather Service
FRIANT DAM (MILLERTON),MIL,581,37.000999,-119.705002   ,FRESNO   ,US Bureau of Reclamation
FRIANT GOVERNMENT CAMP,FGC,410,36.983002,-119.717003   ,FRESNO   ,National Weather Service
LOS BANOS DAM,LBS,350,36.993999,-120.930000   ,MERCED   ,CA Dept of Water Resources/O&M San Luis Field Division
SAN JOAQUIN 5-STATION PRECIP INDEX,5SI,0,37.740002,-119.583000   ,none specified   ,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting
SAN JOAQUIN FLOOR,,,,,,
PANOCHE 2W,PNH,1320,36.599998,-120.866997   ,SAN BENITO   ,National Weather Service
MADERA,MDR,270,36.950001,-120.032997   ,MADERA   ,Madera County
MERCED,MFS,153,37.283001,-120.516998   ,MERCED   ,Merced County
TRACY CARBONA,TCR,140,37.700001,-121.432999   ,SAN JOAQUIN   ,National Weather Service
STOCKTON FIRE STATION 4,STK,12,38.000999,-121.317001   ,SAN JOAQUIN   ,National Weather Service
KINGS RIVER,,,,,,
GRANT GROVE,GRO,6600,36.733002,-118.967003   ,TULARE   ,US National Forest
WISHON DAM (PG&E),WSD,6550,37.002998,-118.986000   ,FRESNO   ,Pacific Gas & Electric
BALCH PH (PG&E),BAL,1720,36.909,-119.088997   ,FRESNO   ,Pacific Gas & Electric
PINE FLAT DAM,PNF,970,36.833,-119.324997   ,FRESNO   ,US Army Corps of Engineers
KAWEAH RIVER,,,,,,
HOCKETT MEADOW (USACE),HCK,8500,36.370998,-118.651001   ,TULARE   ,US Army Corps of Engineers
BEAR TRAP MEADOW,BRM,6800,36.675999,-118.858002   ,TULARE   ,US Army Corps of Engineers
LODGEPOLE,LDG,6735,36.599998,-118.733002   ,TULARE   ,Sequoia and Kings Canyon National Parks
ATWELL CAMP,ATW,6400,36.464001,-118.630997   ,TULARE   ,US Army Corps of Engineers
GIANT FOREST (USACE),GNF,6400,36.562866,-118.770287   ,TULARE   ,US Army Corps of Engineers
ASH MOUNTAIN,ASM,1708,36.483002,-118.833000   ,TULARE   ,Sequoia and Kings Canyon National Parks
THREE RIVERS PH NO 1,3RV,1140,36.466999,-118.866997   ,TULARE   ,"Southern California Edison Company, Bishop"
TERMINUS DAM,TRM,752,36.415001,-119.001999   ,TULARE   ,US Army Corps of Engineers
LEMON COVE,LMC,513,36.382999,-119.032997   ,TULARE   ,National Weather Service
TULE RIVER,,,,,,
HOSSACK,HSS,7100,36.181,-118.619003   ,TULARE   ,US Army Corps of Engineers
EAGLE CREEK,EGL,6700,35.983002,-118.640999   ,TULARE   ,US Army Corps of Engineers
ROGERS CAMP,RGC,6200,36.108002,-118.637001   ,TULARE   ,US Army Corps of Engineers
MOUNTAIN HOME,MNH,5400,36.242001,-118.709999   ,TULARE   ,US Army Corps of Engineers
SPRINGVILLE TULE POWERPLANT,SGV,4070,36.163101,-118.707199   ,TULARE   ,Kern and Tule Hydro LLC
SUCCESS DAM,SCC,692,36.061001,-118.921997   ,TULARE   ,US Army Corps of Engineers
KERN RIVER,,,,,,
PASCOES,PSC,9120,35.961533,-118.357620   ,TULARE   ,US Army Corps of Engineers
KERN R INTAKE NO. 3,KR3,3650,35.950001,-118.480003   ,KERN   ,"Southern California Edison Company, Big Creek"
GLENVILLE FS,GLV,3140,35.716999,-118.699997   ,KERN   ,Kern County
KERN PH 3,KP3,2703,35.775902,-118.436058   ,KERN   ,"Southern California Edison Company, Big Creek"
ISABELLA DAM,ISB,2635,35.646,-118.473000   ,KERN   ,US Army Corps of Engineers
TULARE LAKE,,,,,,
BAKERSFIELD AIRPORT,BFK,494,35.433998,-119.054001   ,KERN   ,National Weather Service
LINDSAY,LND,420,36.200001,-119.050003   ,TULARE   ,National Weather Service
WASCO,WSC,345,35.599998,-119.333000   ,KERN   ,Kern County
FRESNO WB AIRPORT,FRO,328,36.766998,-119.717003   ,FRESNO   ,National Weather Service
VISALIA,VSL,325,36.333,-119.300003   ,TULARE   ,National Weather Service
HANFORD REFINERY,HND,242,36.333,-119.667000   ,KINGS   ,National Weather Service
